年,矿山ID,矿山名,产能,工时
2013,103381,Tacoa Highwall Miner,56004,22392
2013,103404,Reid School Mine,28807,28447
2013,100759,North River #1 Underground Min,1440115,474784
2013,103246,Bear Creek,87587,29193
2013,103451,Knight Mine,147499,46393
2013,103433,Crane Central Mine,69339,47195
2013,100329,Concord Mine,0,144002
2013,100851,Oak Grove Mine,2269014,1001809
2013,102901,Shoal Creek Mine,0,12396
2013,102901,Shoal Creek Mine,1453024,1237415
2013,103180,Sloan Mountain Mine,327780,196963
2013,103182,Fishtrap,175058,87314
2013,103285,Narley Mine,154861,90584
2013,103332,Powhatan Mine,140521,61394
2013,103375,Johnson Mine,580,1900
2013,103419,Maxine-Pratt Mine,125824,107469
2013,103432,Skelton Creek,8252,220
2013,103437,Black Warrior Mine No 1,145924,70926
2013,102976,Piney Woods Preparation Plant,0,14828
2013,102976,Piney Woods Preparation Plant,0,23193
2013,103380,Calera,0,12621
2013,103380,Calera,0,1402
2013,103422,Clark No 1 Mine,122727,140250
2013,103467,Helena Surface Mine,59664,30539
2013,101247,No 4 Mine,2622528,1551141
2013,101401,No 7 Mine,5405412,2464719
2013,103172,"Searles Mine No. 2, 3, 4, 5, 6",258078,119542
2013,103179,Fleetwood Mine No 1,75937,63745
2013,103303,Shannon Mine,317491,164388
2013,103323,Deerlick Mine,133452,46381
2013,103364,Brc Alabama No. 7 Llc,0,14324
2013,103436,Swann's Crossing,137511,77190
2013,100347,Choctaw Mine,537429,215295
2013,101362,Manchester Mine,219457,116914
2013,102996,Jap Creek Mine,375715,164093
2013,103155,Corinth Prep Plant,0,27996
2013,103155,Corinth Prep Plant,0,51994
2013,103195,Mccollum/Sparks Branch Mine,71910,17411
2013,103342,Reese's Branch Mine,263888,115123
2013,103370,Cresent Valley Mine,2860,621
2013,103372,Cane Creek Mine,66258,32401
2013,103376,Town Creek,299167,176499
2013,103389,Carbon Hill Mine,76241,84966
2013,103410,Coal Valley Mine,407841,158591
2013,103423,Dutton Hill Mine,37275,9162
2013,1519322,Ghm #25,25054,3108
2013,103321,Poplar Springs,189370,76366
2013,103358,Old Union,284563,161805
2013,5000030,Usibelli,1631584,286079
2013,201195,Kayenta Mine,7602722,1015333
